CODPROD_PA;DESCRICAO_PA;MIN;MAX;MEDIA;DENSIDADE_FORMULA;QUANTIDADE;PADRAO_LAUDO;CODPROD_SA;DESCRICAO_SA;PESO_FORMULA;LITRAGEM
1008;"FIT SELADOR ACRILICO KOKAR 16L";1,350;1,393;1,371;1,350;50;"1,35 - 1,38 G/CM³";21,600;16,0;1007;"FIT SELADOR ACRILICO - SA"
1662;"VERNIZ FILTRO SOLAR 3,6L INCOLOR";0,931;0,944;0,938;0,900;2;"0,88 - 0,93 (G/CM³)";3,240;3,6;1660;"VERNIZ FILTRO SOLAR INCOLOR KOKAR - SA"
1605;"ESMALTE SINT BRILHANTE 0,9L COLORADO";0,948;0,952;0,950;0,950;2;"MIN.0,94 (G/CM³)";0,855;0,9;1528;"ESMALTE SINT BRILHANTE COLORADO - SA"
1581;"ESMALTE SINT BRILHANTE 3,6L MARROM";0,952;0,955;0,954;0,940;2;0,940(G/CM³);3,384;3,6;1532;"ESMALTE SINT BRILHANTE MARROM - SA"
2130;"STANDARD FS 3,6L AZUL OCEANO ";1,220;1,230;1,227;1,300;3;"1,22 - 1,28";4,680;3,6;2096;"STANDARD FS AZUL OCEANO - SA "
2064;"ESMALTE SINT BRILHANTE 3,6L VERMELHO SEG";0,936;0,936;0,936;0,976;1;"0,9 - 1,0 G/ML";3,514;3,6;2063;"ESMALTE SINT BRILHANTE VERMELHO SEG - SA"
2065;"ESMALTE SINT BRILHANTE 0,9L VERMELHO SEG";0,936;0,936;0,936;0,976;1;"0,9 - 1,0 G/ML";0,878;0,9;2063;"ESMALTE SINT BRILHANTE VERMELHO SEG - SA"
2831;"STANDARD FS 18L ANDIROBA";1,290;1,298;1,294;1,300;2;"1,32-1,37 G/CM3";23,400;18,0;2801;"STANDARD FS ANDIROBA - SA"
270;"RESINA ACR BA KOKAR 18L CERAMICA TELHA";1,003;1,013;1,009;1,050;5;"1,01 -1,05 G/CM³";18,900;18,0;648;"RESINA ACR BA KOKAR CERAMICA TELHA - SA"
1624;"FUNDO SINTETICO 3,6L CINZA MEDIO";1,240;1,241;1,241;1,219;2;"1,20 - 1,25 (G/CM³)";4,390;3,6;1544;"FUNDO SINTETICO CINZA - SA"
1594;"ESMALTE SINT BRILHANTE 0,9L AREIA";0,960;0,970;0,965;0,980;2;"0,96 - 1,01 G/CM³";0,882;0,9;1520;"ESMALTE SINT BRILHANTE AREIA - SA"
2147;"STANDARD FS 18L PALHA ";1,307;1,354;1,331;1,340;5;(1,32-1,36);24,120;18,0;2105;"STANDARD FS PALHA - SA "
1601;"ESMALTE SINT BRILHANTE 0,9L AZUL FRANCA";0,940;0,958;0,950;0,950;6;"0,94 (G/GM³)";0,855;0,9;1523;"ESMALTE SINT BRILHANTE AZUL FRANCA - SA"
1590;"ESMALTE SINT BRILHANTE 3,6L VERMELHO";0,930;0,960;0,943;0,970;4;"0,95-0,98 (G/CM³)";3,492;3,6;1541;"ESMALTE SINT BRILHANTE VERMELHO - SA"
241;"STANDARD SB 18L VERDE LIMAO";1,150;1,152;1,151;1,140;2;"MINIMO 1,12 G/CM³";20,520;18,0;625;"STANDARD SB VERDE LIMAO - SA"
1667;"VERNIZ FILTRO SOLAR 0,9L IMBUIA";0,950;0,973;0,962;0,930;2;"0,90 - 0,95 (G/CM³)";0,837;0,9;1666;"VERNIZ FILTRO SOLAR IMBUIA KOKAR - SA"
2138;"STANDARD FS 18L CINZA AVELUDADO ";1,280;1,309;1,297;1,300;4;"1,25-1,30 G/CM³";23,400;18,0;2100;"STANDARD FS  CINZA AVELUDA - SA - NOVA"
377;"TINTA PISO KOKAR 18L BRANCO NEVE";1,340;1,352;1,348;1,330;4;"1,30 - 1,35 (G/CM³)";23,940;18,0;504;"TINTA PISO KOKAR BRANCO NEVE - SA"
3625;"ESMALTE SINT BRILHANTE 18L CINZA PLACA";0,969;0,969;0,969;1,000;1;"0,94 - 1,00";18,000;18,0;3626;"ESMALTE SINT BRILHANTE CINZA PLACA - SA"
1645;"FUNDO E ACABAMENTO 18L AZUL FRANCA";1,042;1,080;1,056;1,060;7;1,05-1,10;19,080;18,0;1551;"FUNDO E ACABAMENTO AZUL FRANCA - SA"
2784;"ECONOMICO FOSCO 3,6L FERVEDOURO";1,343;1,343;1,343;1,340;1;"1,32-1,37 G/CM3";4,824;3,6;2728;"ECONOMICO FOSCO FERVEDOURO - SA"
2916;"STANDARD FS 18L MARFIM";1,330;1,330;1,330;1,340;3;1,30-1,35;24,120;18,0;2912;"STANDARD FS MARFIM - SA"
272;"RESINA ACR BA KOKAR 18L CONCRETO";1,030;1,030;1,030;1,000;1;"1,02 - 1,05 G/CM³";18,000;18,0;650;"RESINA ACR BA KOKAR CONCRETO - SA"
2705;"FIT ACR FS ECONOMICO 16L SANHACU";1,340;1,341;1,341;1,340;2;1,33-1,37;21,440;16,0;2695;"FIT ACR FS ECONOMICO SANHACU - SA"
2169;"STANDARD FS 3,6L LILAS";1,307;1,307;1,307;1,300;1;"1,30 - 1,34";4,680;3,6;2162;"STANDARD FS LILAS - SA "
2610;"STANDARD FS 18L AZUL PROFUNDO";1,219;1,233;1,228;1,370;4;"1,2-1,3 G/ML";24,660;18,0;2609;"STANDARD FS AZUL PROFUNDO  - SA "
391;"TINTA PISO KOKAR 3,6L CONCRETO";1,337;1,350;1,344;1,340;4;"1,30 - 1,35 (G/CM³)";4,824;3,6;721;"TINTA PISO KOKAR CONCRETO - SA"
3388;"STANDARD SB 18L AZUL PROFUNDO";1,120;1,140;1,130;1,170;2;"1,12-1,22 G/CM3";21,060;18,0;3389;"STANDARD SB AZUL PROFUNDO - SA"
3084;"PREMIUM FOSCO 18L CINZA PRATEADO";1,257;1,300;1,279;1,290;2;1,28-1,47;23,220;18,0;3043;"PREMIUM FOSCO CINZA PRATEADO - SA"
2740;"ECONOMICO FOSCO 18L MARSALLA";1,318;1,318;1,318;1,310;1;"1,32-1,37 G/CM3";23,580;18,0;2712;"ECONOMICO FOSCO MARSALLA  - SA"
3073;"PREMIUM ACET SEDA 3,6L BEGE FAVORITO";1,110;1,110;1,110;1,160;1;"1,18-1,22 G/CM3";4,176;3,6;3030;"PREMIUM ACET SEDA BEGE FAVORITO - SA"
1860;"TINTA PISO KOKAR 3,6L CINZA ESCURO";1,243;1,253;1,248;1,250;7;"1,24 - 1,26 G/CM³";4,500;3,6;1858;"TINTA PISO KOKAR CINZA ESCURO - SA"
2868;"STANDARD FS 3,6L AMAZONITA";1,319;1,319;1,319;1,310;1;"1,32-1,37 G/CM3";4,716;3,6;2809;"STANDARD FS AMAZONITA - SA"
2839;"STANDARD FS 18L AMAZONITA";1,319;1,319;1,319;1,310;1;"1,32-1,37 G/CM3";23,580;18,0;2809;"STANDARD FS AMAZONITA - SA"
2616;"ESMALTE SINT BRILHANTE 18L CINZA MEDIO";0,970;0,980;0,975;1,000;2;"0,94 - 1,00 (G/CM³)";18,000;18,0;1527;"ESMALTE SINT BRILHANTE CINZA MEDIO - SA"
23;"ECONOMICO FOSCO 18L PEROLA";1,340;1,340;1,340;1,350;1;"1,32-1,37 (G/CM³)";24,300;18,0;633;"ECONOMICO FOSCO PEROLA - SA"
375;"TINTA PISO KOKAR 18L AMARELO DEMARCACAO";1,317;1,376;1,347;1,350;4;"1,33 - 1,37 (G/CM³)";24,300;18,0;718;"TINTA PISO KOKAR AMARELO DEMARCACAO - SA"
147;"PREMIUM FOSCO 3,6L CHOCOLATE";1,305;1,305;1,305;1,300;1;"1,28 - 1,33 (G/CM³)";4,680;3,6;535;"PREMIUM FOSCO CHOCOLATE - SA"
2838;"STANDARD FS 18L VERDE MENTA";1,293;1,293;1,293;1,300;1;"1,32-1,37 G/CM3";23,400;18,0;2808;"STANDARD FS VERDE MENTA - SA"
1406;"FIT SELADOR ACRILICO KOKAR 16L CONCRETO";1,354;1,354;1,354;1,350;1;"1,32-1,37 G/CM³";21,600;16,0;1404;"FIT SELADOR ACRILICO CONCRETO - SA"
2149;"STANDARD FS 18L PEROLA ";1,315;1,320;1,318;1,340;2;"1,32 -1,36";24,120;18,0;2106;"STANDARD FS  PEROLA - SA "
